year,city,country,avg_temp
1743,Philadelphia,United States,6.07
1744,Philadelphia,United States,13.74
1745,Philadelphia,United States,3.96
1746,Philadelphia,United States,
1747,Philadelphia,United States,
1748,Philadelphia,United States,
1749,Philadelphia,United States,
1750,Philadelphia,United States,12.36
1751,Philadelphia,United States,13.05
1752,Philadelphia,United States,5.64
1753,Philadelphia,United States,11.85
1754,Philadelphia,United States,12.29
1755,Philadelphia,United States,9.12
1756,Philadelphia,United States,12.41
1757,Philadelphia,United States,11.26
1758,Philadelphia,United States,10.43
1759,Philadelphia,United States,11.35
1760,Philadelphia,United States,10.12
1761,Philadelphia,United States,12.47
1762,Philadelphia,United States,11.80
1763,Philadelphia,United States,9.63
1764,Philadelphia,United States,12.02
1765,Philadelphia,United States,11.39
1766,Philadelphia,United States,12.40
1767,Philadelphia,United States,10.96
1768,Philadelphia,United States,10.89
1769,Philadelphia,United States,11.43
1770,Philadelphia,United States,11.32
1771,Philadelphia,United States,12.62
1772,Philadelphia,United States,11.99
1773,Philadelphia,United States,12.37
1774,Philadelphia,United States,11.92
1775,Philadelphia,United States,12.56
1776,Philadelphia,United States,11.60
1777,Philadelphia,United States,11.11
1778,Philadelphia,United States,9.36
1779,Philadelphia,United States,3.45
1780,Philadelphia,United States,
1781,Philadelphia,United States,12.09
1782,Philadelphia,United States,11.49
1783,Philadelphia,United States,11.16
1784,Philadelphia,United States,10.81
1785,Philadelphia,United States,10.85
1786,Philadelphia,United States,11.35
1787,Philadelphia,United States,11.35
1788,Philadelphia,United States,12.10
1789,Philadelphia,United States,11.77
1790,Philadelphia,United States,11.73
1791,Philadelphia,United States,11.74
1792,Philadelphia,United States,11.11
1793,Philadelphia,United States,12.18
1794,Philadelphia,United States,12.16
1795,Philadelphia,United States,11.59
1796,Philadelphia,United States,11.34
1797,Philadelphia,United States,11.25
1798,Philadelphia,United States,12.20
1799,Philadelphia,United States,11.69
1800,Philadelphia,United States,11.81
1801,Philadelphia,United States,12.22
1802,Philadelphia,United States,12.54
1803,Philadelphia,United States,12.42
1804,Philadelphia,United States,12.07
1805,Philadelphia,United States,12.71
1806,Philadelphia,United States,11.73
1807,Philadelphia,United States,11.53
1808,Philadelphia,United States,11.85
1809,Philadelphia,United States,11.13
1810,Philadelphia,United States,11.57
1811,Philadelphia,United States,11.67
1812,Philadelphia,United States,10.17
1813,Philadelphia,United States,11.25
1814,Philadelphia,United States,11.01
1815,Philadelphia,United States,10.63
1816,Philadelphia,United States,10.29
1817,Philadelphia,United States,10.16
1818,Philadelphia,United States,10.52
1819,Philadelphia,United States,11.37
1820,Philadelphia,United States,11.35
1821,Philadelphia,United States,10.79
1822,Philadelphia,United States,12.21
1823,Philadelphia,United States,11.17
1824,Philadelphia,United States,11.78
1825,Philadelphia,United States,12.45
1826,Philadelphia,United States,12.35
1827,Philadelphia,United States,11.82
1828,Philadelphia,United States,13.24
1829,Philadelphia,United States,11.50
1830,Philadelphia,United States,12.78
1831,Philadelphia,United States,11.28
1832,Philadelphia,United States,11.52
1833,Philadelphia,United States,11.60
1834,Philadelphia,United States,11.78
1835,Philadelphia,United States,11.07
1836,Philadelphia,United States,10.07
1837,Philadelphia,United States,10.83
1838,Philadelphia,United States,11.32
1839,Philadelphia,United States,11.58
1840,Philadelphia,United States,11.66
1841,Philadelphia,United States,11.31
1842,Philadelphia,United States,11.78
1843,Philadelphia,United States,10.92
1844,Philadelphia,United States,11.52
